Index,batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
175,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,92,70,7,158,7.92,7.885714286,0
176,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,91,69,7,158,7.882352941,7.913043478,0
177,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,89,68,7,158,7.961538462,7.852941176,0
178,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,89,67,7,158,7.811320755,7.970149254,0
179,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,88,66,7,158,7.777777778,8,0
180,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,87,65,7,158,7.745454545,8.030769231,0
181,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,86,64,7,158,7.714285714,8.0625,0
182,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,86,63,7,158,7.578947368,8.19047619,0
183,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,82,62,7,158,7.862068966,7.935483871,0
184,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,80,61,7,158,7.93220339,7.868852459,0
185,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,79,60,7,158,7.9,7.9,0
186,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,79,59,7,158,7.770491803,8.033898305,0
187,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,78,58,7,158,7.741935484,8.068965517,0
188,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,74,57,7,158,8,7.789473684,0
189,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,74,56,7,158,7.875,7.928571429,0
190,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,74,55,6,158,7.753846154,8.072727273,0
191,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,73,54,6,158,7.727272727,8.111111111,0
192,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,72,53,6,158,7.701492537,8.150943396,0
193,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,72,52,6,158,7.588235294,8.307692308,0
194,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,66,51,6,158,8,7.764705882,0
195,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,66,50,6,158,7.885714286,7.92,0
196,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,65,49,6,158,7.85915493,7.959183673,0
197,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,64,48,6,158,7.833333333,8,0
198,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,63,47,6,158,7.808219178,8.042553191,0
199,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,59,46,6,158,8.027027027,7.695652174,0
200,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,53,45,6,158,8.4,7.066666667,0
201,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,53,44,6,158,8.289473684,7.227272727,0
202,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,52,43,6,158,8.25974026,7.255813953,0
203,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,51,42,6,158,8.230769231,7.285714286,0
204,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,51,41,5,158,8.126582278,7.463414634,0
205,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,49,41,5,158,8.278481013,7.170731707,0
206,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,48,40,5,158,8.25,7.2,0
207,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,48,39,5,158,8.148148148,7.384615385,0
208,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,48,38,5,158,8.048780488,7.578947368,0
209,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,47,37,5,158,8.024096386,7.621621622,0
210,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,46,36,5,158,8,7.666666667,0
211,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,46,35,5,158,7.905882353,7.885714286,0
212,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,46,34,5,158,7.813953488,8.117647059,0
213,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,45,33,5,158,7.793103448,8.181818182,0
214,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,45,32,5,158,7.704545455,8.4375,0
